stimulus,1223_2636,1224_2642,1228_2674,1229_2683,1230_2680,1238_2578,1241_2583,1242_2582,1243_2580,1247_2590,1248_2587,1251_2589,1253_2592,1256_2601,1257_2600,1258_2598,1263_2603,1264_2602,1265_2605,1272_2607,1275_2613,1276_2612,1277_2616,1278_2617,1280_2620,1283_2634,1285_2635,1286_2632,1287_2633,1288_2640,1291_2643,1293_2639,1294_2646,1297_2676,1298_2645,1300_2649,1303_2653,1304_2655,1307_2659,1308_2658,1312_2663,1317_2661,1318_2662,1319_2665,1320_2666,1321_2672,1322_2673,1324_2682,1327_2687,1329_2685,1334_2692,1335_2691,1337_2698,1338_2697,1342_2703,1343_2704,1347_2710,1349_2712,1350_2716,1354_2719,1355_2718,1364_2747,1366_2753,1373_2764,1374_2754,1383_2744,1387_2758,1389_2768,1390_2767,1391_2773,200_2596,376_2701,390_2678,411_2614,418_2668,419_2715,425_2763,436_2714,454_2721,457_2604,471_2675,486_2679,500_2594,503_2618,505_2772,524_2599,551_2700,552_2722,582_2766,586_2667,587_2695,596_2591,603_2708,609_2689,617_2702,630_2706,643_2574,646_2595,651_2575,678_2684,700_2693,710_2709,724_2774,779_2621,864_2677,mean
1e40b494ef,,29.1043,35.6487,45.0146,29.7818,26.1574,20.3235,30.8482,47.0594,,,34.8807,20.4495,63.2648,50.9902,45.7868,27.9881,59.8421,40.4145,,27.9029,26.5954,14.2725,19.2841,40.5477,,30.8957,22.8035,56.0258,36.0555,28.3772,35.2630,43.8341,18.0810,45.0157,29.8923,26.8742,39.7273,22.1108,27.2246,38.7018,24.2015,,24.8998,25.1360,47.2478,37.3651,42.9341,46.2435,25.9808,23.2513,15.0756,54.7152,45.5272,,17.4198,24.4365,22.5990,14.1421,45.5217,35.2282,,24.7052,25.2810,34.9085,24.4949,,30.8697,,,,38.6341,75.4755,,28.8231,27.6199,19.2873,43.5465,28.4103,65.4124,46.9042,,38.3305,85.0432,31.9374,40.0000,,37.4660,35.3181,41.1597,49.9629,,32.1248,28.3549,441.7843,1794.8538,42.5441,,59.3817,23.7669,39.8808,33.7474,34.1940,38.2213,346.2658,63.6099
210ed59bca,32.4491,,27.0501,,,23.6291,27.6887,,,27.3627,28.0827,,,,,36.0555,,,,,,21.6401,,,,,,23.3605,36.7643,35.7707,37.5278,,,,,,,18.2859,,76.0611,,17.4608,,,18.0607,48.9898,31.2339,45.7738,,,,15.6470,,,,,24.3086,30.6079,,46.7143,28.7329,62.3813,,,24.6337,,105.8623,,,,,,112.0268,36.5025,148.3047,25.2789,26.4575,,27.8701,,,33.1662,40.9765,,,25.2982,,,55.4777,63.4475,,49.7821,,,,,26.7375,23.8416,44.1033,,77.5954,,,,223.4854,45.2838
2648b1ae09,43.6064,,28.4837,,,33.1662,37.8362,,,27.6433,26.8524,,,,,36.4751,,,,,,35.9526,,,,,,22.0251,37.6026,23.3809,31.0036,,,,,,,30.4512,,23.3839,,28.2843,,,25.0555,63.4732,42.6261,45.1067,,,,12.1976,,,,,21.4713,27.5823,,42.9715,41.2098,42.5572,,,29.0065,,146.2439,,,,,,148.0440,51.1972,58.5514,23.3376,25.1992,,31.6228,,,47.1267,36.7171,,,31.7905,,,52.0229,48.8225,,51.1821,,,,,45.6305,37.9536,77.7525,,56.3776,,,,310.1086,48.6156
26d3c6c356,,34.6410,,41.8149,36.4496,,,21.1640,41.0128,,,24.9878,72.8197,39.5230,88.0705,,27.7812,209.6355,40.3699,24.3584,40.5817,,17.0139,20.1964,41.0623,86.8301,48.6325,,,,,31.8614,36.3766,23.8389,26.9366,29.7856,15.4919,,22.7940,,28.9677,,17.8730,25.2050,,,,,57.3038,24.4949,23.9046,,67.8759,76.0611,27.2298,15.6492,,,21.4087,,,,32.3522,18.8484,,22.4621,,29.0767,49.2161,51.6129,34.9025,136.6539,,,,,,21.1542,,96.7722,50.1536,,,65.4726,29.0500,,62.5227,35.9843,,,38.8290,,38.7613,43.9405,58.6955,426.3725,,,,24.1091,,35.1505,57.3856,55.2494,,49.9136
2741c294fb,,36.3803,,41.3003,32.5657,,,29.8259,43.7065,,,62.3941,32.5657,63.7798,53.8969,,31.2968,243.0559,61.8572,25.7447,38.9310,,17.6298,22.8841,35.7601,113.7871,32.5786,,,,,42.7395,31.0913,19.6481,21.4794,29.3987,51.9294,,21.4679,,31.5524,,23.2832,27.8687,,,,,51.6047,21.3437,17.8227,,145.0729,115.5013,15.8114,16.9115,,,19.1014,,,,21.4476,17.6218,,32.8138,,39.7979,44.6894,37.8342,38.8470,38.6958,,,,,,27.7621,,109.3161,53.0640,,,66.5949,50.9668,,117.0185,49.3910,,,39.9390,,35.2910,39.6003,52.0577,513.5725,,,,28.2073,,22.7462,43.5890,50.8391,,54.0209
287df895d5,36.2604,,,,,,,,39.0112,,30.6742,69.6120,26.1985,73.5818,,,23.8048,70.5140,27.0555,,41.2729,21.7695,25.7481,21.7760,38.4831,,25.7307,30.9005,117.9866,,23.1146,,24.7581,24.5835,21.4920,,25.3969,,21.2603,,36.4434,,18.8982,27.2947,,,,,,24.0265,24.2301,20.0000,62.8393,120.3467,,19.5959,24.4949,22.1880,20.9497,46.9042,23.7697,,32.5253,,20.8167,29.5804,,23.8485,,,,,99.0215,,35.9092,42.1900,20.3961,21.3664,,76.0920,48.9898,31.3721,29.5334,76.7333,,23.5907,103.2175,,35.5668,96.2388,49.0953,,,33.0584,57.3973,409.5070,,,65.0854,,,35.0000,41.0881,,357.2931,51.5473
288fa83cd7,30.8896,,34.4436,,32.0590,,,22.8218,37.5119,,,80.9056,,50.4645,69.1215,43.0393,29.8329,144.4022,,,16.8585,19.2841,18.4637,19.1185,60.5280,,26.8457,23.6291,171.7303,32.1591,78.8855,36.2859,22.0501,,20.0000,29.1824,26.9615,,20.4302,19.2507,32.3817,,15.6205,27.6586,26.9502,,38.9960,39.1742,,24.8998,23.4216,21.8386,63.6723,164.9793,,9.5860,21.5849,21.3140,,41.5443,23.8273,112.6121,25.4296,45.1794,27.2196,34.9857,53.2722,28.0755,,,,,194.9847,,50.6050,,,23.9317,,,35.5382,30.0000,38.6086,118.6477,,36.4751,64.8074,38.1134,50.0454,59.6983,41.0196,,,,217.6787,,32.3751,,57.2653,30.1846,37.1484,53.9841,,,308.1396,51.5582
294fd820c9,30.7724,,48.9314,,,33.2851,13.7980,,,25.4951,35.7641,,,,,28.3333,,,,,,30.9673,,,,,,20.1384,131.8198,129.4285,31.8715,,,,,,,35.5367,,31.6228,,22.0794,,,20.8167,80.8879,35.7071,60.1015,,,,11.9137,,,,,35.0510,26.2077,,44.1983,32.4037,447.0411,,,26.0851,,50.0454,,,,,,145.5163,43.6218,49.3077,36.2629,17.0731,,31.8733,,,41.0510,34.3037,,,29.6742,,,52.5991,59.6943,,42.6662,,,,,44.8771,27.7434,39.5811,,65.0641,,,,184.2929,56.0342
2cce389771,26.3761,34.0955,38.3797,44.7627,29.8481,36.6970,55.9567,27.0006,39.5012,28.5774,32.3465,26.7875,35.8944,56.2139,55.8283,29.9314,25.7702,70.3099,32.8295,22.0085,39.5149,35.2630,18.4072,20.8893,48.7787,72.2595,28.4641,23.8298,213.6305,33.5942,36.1013,38.6949,30.6622,19.2945,21.3809,33.9347,21.4970,31.5491,23.9732,21.1945,39.5378,24.5429,19.5859,21.9504,22.3268,58.5314,44.3095,46.5800,54.4059,24.4233,19.1982,14.1789,62.2036,61.5971,,16.9177,35.4014,31.8755,24.2186,52.1442,32.3803,318.2511,49.3902,20.9762,29.9705,24.9122,63.7154,30.8896,50.0701,48.1209,37.3175,56.2276,104.0356,48.3249,40.7340,34.9589,26.2679,35.5445,23.4521,205.7353,52.8162,58.2745,35.9563,63.4035,39.6940,34.8667,389.2149,69.2543,48.1209,48.9087,46.5698,66.5296,26.9005,70.4801,53.0930,2107.8528,46.5790,24.2899,76.6965,24.0978,43.1504,35.2091,48.5226,59.3992,243.6973,70.4886
30ea149df9,48.3812,,,,,19.7484,,,41.4955,,,97.8366,20.9268,,,,27.6073,48.5798,27.6656,,23.9792,17.7591,18.2248,18.4637,37.9359,82.6403,22.4465,34.6875,97.2565,,35.0999,34.3854,24.7207,18.4155,17.3860,29.7321,,17.3205,33.4996,30.8957,31.9856,,12.0605,,18.7083,,48.7205,,25.8492,23.2279,25.3935,23.8747,49.7326,,,19.6116,30.7409,25.8070,,,33.5162,141.4868,,24.2384,29.8715,21.7503,94.8432,30.6001,67.1855,,,37.5905,45.0925,,46.1880,,,20.3810,21.8218,225.8779,36.1109,,36.9865,,,21.0042,,,,61.5900,36.3741,,,,66.6667,,,,30.9839,,,28.6356,38.1980,,301.4548,44.5363
