unix_utc,GSR,IBT
1455281053.8,2273.177195915352,740.0000000000001
1455281054.6,2271.802811495925,780.0
1455281055.4,2272.0227093188378,800.0
1455281056.2,2271.9998036435645,780.0
1455281056.9,2270.400575714187,730.0
1455281059.1,2269.216323714169,670.0000000000002
1455281059.9,2269.417813569937,790.0000000000001
1455281060.7,2268.03161939297,740.0000000000001
1455281061.4,2267.569373330699,740.0000000000001
1455281062.1,2267.540307825137,750.0
1455281062.9,2266.179208731925,800.0
1455281063.7,2265.9190715807667,790.0000000000001
1455281064.5,2265.667163899881,770.0000000000001
1455281065.3,2264.7672750599404,800.0
1455281066.1,2264.2832915144995,809.9999999999999
1455281066.9,2263.3298402447194,790.0000000000001
1455281067.7,2263.1382045785745,820.0
1455281068.5,2263.1148292385183,780.0
1455281071.6,2260.3111145105718,780.0
1455281074.1,2257.507215702182,869.9999999999998
1455281074.9,2256.8543755925602,839.9999999999999
1455281075.8,2256.374873973655,839.9999999999999
1455281076.6,2254.9526846016784,800.0
1455281077.4,2254.5199138540474,780.0
1455281078.2,2254.750806198833,820.0
1455281078.9,2253.7959976337397,770.0000000000001
1455281079.7,2252.442346396269,740.0000000000001
1455281080.4,2252.420978767842,730.0
1455281081.2,2251.485935810168,760.0000000000001
1455281081.9,2250.8261295827897,760.0000000000001
1455281082.7,2251.029801354665,760.0000000000001
1455281083.4,2250.118924777529,660.0
1455281084.2,2249.906195696062,820.0
1455281086.4,2247.358777398565,740.0000000000001
1455281087.1,2247.1002792111103,740.0000000000001
1455281087.9,2246.9054002575294,750.0
1455281088.7,2245.0590303385893,800.0
1455281089.4,2245.490752455419,780.0
1455281090.2,2244.37544604314,800.0
1455281091.0,2244.3688737311427,760.0000000000001
1455281091.8,2244.5718286643782,790.0000000000001
1455281092.5,2243.919723179505,740.0000000000001
1455281093.3,2243.903292399515,730.0
1455281094.0,2244.1147161292,740.0000000000001
1455281094.7,2243.464927764669,750.0
1455281095.5,2243.437250347933,800.0
1455281101.2,2240.676954546946,780.0
1455281102.0,2240.4680201746764,800.0
1455281102.8,2239.8002983145348,790.0000000000001
1455281103.6,2239.7652805305574,760.0000000000001
1455281104.3,2239.556087893336,710.0
1455281105.0,2238.8687495575077,660.0
1455281105.6,2239.085891126403,650.0
1455281106.4,2238.8860017218813,800.0
1455281111.4,2235.891126942996,689.9999999999999
1455281112.2,2235.466034734147,780.0
1455281112.9,2235.427042794542,730.0
1455281113.7,2234.984768059746,800.0
1455281114.5,2232.964082947728,830.0000000000002
1455281115.4,2234.3030259228144,820.0
1455281116.2,2234.5132741854804,800.0
1455281116.9,2232.961275059141,760.0000000000001
1455281117.7,2232.938601495452,790.0000000000001
1455281118.4,2233.1581412510704,710.0
1455281119.2,2232.502752763425,790.0000000000001
1455281120.0,2232.027606770769,830.0000000000002
1455281120.9,2231.785423488622,879.9999999999999
1455281121.8,2230.1009259258444,859.9999999999998
1455281122.6,2230.008641257077,859.9999999999998
1455281123.4,2229.75682221258,750.0
1455281124.2,2229.2958087855536,780.0
1455281124.9,2229.110061823645,770.0000000000001
1455281125.7,2229.528960780763,750.0
1455281126.5,2228.6152302338096,780.0
1455281131.1,2226.8015934633804,809.9999999999999
1455281131.9,2225.704960422533,790.0000000000001
1455281132.7,2225.9291318169926,790.0000000000001
1455281133.4,2225.446877792285,720.0
1455281134.2,2225.022767300279,800.0
1455281135.0,2223.6762253068746,800.0
1455281135.8,2224.3254928544766,750.0
1455281136.5,2223.6634370906795,740.0000000000001
1455281137.2,2223.225551566566,730.0
1455281138.0,2223.1949583741753,760.0000000000001
1455281138.8,2222.9855926916325,809.9999999999999
1455281144.2,2218.736512119205,730.0
1455281144.9,2218.708837298852,710.0
1455281145.6,2218.9298478015653,640.0
1455281146.2,2217.379962642668,660.0
1455281146.9,2218.021735469666,660.0
1455281147.6,2217.1611999905926,730.0
1455281148.5,2216.0429389352357,839.9999999999999
1455281149.3,2217.1340287485045,820.0
1455281150.1,2214.4477848919405,850.0
1455281151.0,2215.819148606361,859.9999999999998
1455281151.8,2215.5926878742093,839.9999999999999
1455281152.6,2217.355501496353,790.0000000000001
1455281153.5,2216.455567073302,830.0000000000002
1455281154.2,2216.713712374414,750.0
1455281154.9,2218.034429482024,740.0000000000001
1455281155.7,2216.233636273496,740.0000000000001
1455281156.5,2216.9437896951713,770.0000000000001
1455281157.2,2216.9179869556588,790.0000000000001
1455281158.1,2218.921225553142,820.0
1455281158.9,2219.6151532820886,820.0
1455281159.7,2218.963447516384,850.0
1455281162.3,2221.1840715484063,879.9999999999999
1455281164.6,2220.053543968886,740.0000000000001
1455281165.4,2220.0871877489453,809.9999999999999
1455281166.1,2221.4023458848774,689.9999999999999
1455281166.8,2220.959873706155,790.0000000000001
1455281167.7,2220.978536964853,839.9999999999999
1455281168.5,2221.638837693105,800.0
1455281169.3,2222.517375656017,809.9999999999999
1455281170.0,2221.20137426883,740.0000000000001
1455281170.8,2221.195449399552,780.0
1455281171.6,2222.292272695552,790.0000000000001
1455281172.4,2221.6383864917793,760.0000000000001
1455281173.1,2220.9748997734728,770.0000000000001
1455281173.9,2222.0676278371943,760.0000000000001
1455281174.6,2221.6456622380388,710.0
1455281175.3,2221.862124834909,650.0
1455281176.0,2222.2931847313234,700.0000000000001
1455281180.7,2222.5155488073906,689.9999999999999
1455281181.5,2222.7721319735338,720.0
1455281182.1,2222.7575307777656,689.9999999999999
1455281182.8,2222.7493168229994,700.0000000000001
1455281183.6,2222.336051254725,710.0
1455281184.3,2223.2008928705795,730.0
1455281185.0,2223.6584090250753,750.0
1455281185.8,2226.3917515119365,809.9999999999999
1455281186.6,2225.912197027441,730.0
1455281187.4,2226.5806245867348,780.0
1455281188.2,2226.1638900801195,830.0000000000002
1455281188.9,2226.5865869275367,689.9999999999999
1455281189.6,2226.8167304987987,750.0
1455281190.4,2226.619612943753,770.0000000000001
1455281191.2,2227.0427552459328,780.0
1455281192.0,2226.580163684912,809.9999999999999
1455281192.8,2226.6159424254024,830.0000000000002
1455281193.6,2227.2784115005315,809.9999999999999
1455281194.4,2227.254082954973,809.9999999999999
1455281195.3,2226.818110387575,830.0000000000002
1455281196.0,2226.8364628205168,760.0000000000001
1455281196.9,2227.490658088655,830.0000000000002
1455281197.7,2227.259130471577,800.0
1455281198.4,2226.619612943753,790.0000000000001
1455281199.2,2227.7157582720347,760.0000000000001
1455281201.3,2227.2536234558524,670.0000000000002
1455281202.3,2227.036787294297,930.0
1455281206.2,2225.912197027441,780.0
1455281206.9,2226.3619420691793,710.0
1455281207.6,2224.131020721711,700.0000000000001
1455281208.2,2224.9948477998128,660.0
1455281208.9,2224.809554479677,700.0000000000001
1455281209.6,2224.782101119189,680.0000000000002
1455281210.3,2224.786668297129,680.0000000000002
1455281211.0,2223.907282378581,700.0000000000001
1455281211.8,2224.3254928544766,760.0000000000001
1455281214.9,2223.6520122242946,820.0
1455281215.7,2222.336051254725,780.0
1455281216.4,2222.074925539975,780.0
1455281217.2,2220.721574466614,730.0
1455281217.9,2220.0871877489453,750.0
